fold,method,ilisi,clisi,best_d_coef
1,critic,0.7572274730959113,0.03234719392548979,0.5
1,no_critic,0.7164663918322349,0.006449467890595041,0.1
2,critic,0.7933139425374078,0.03863050429851461,0.2
2,no_critic,0.6991660122738742,0.005280711275279594,0.1
3,critic,0.8092891983000476,0.026187780974928274,0.2
3,no_critic,0.6524081689396066,0.008331886924533868,0.1
4,critic,0.7840463802176377,0.03388732407942676,0.5
4,no_critic,0.7218871270091385,0.007389281038563856,0.2
5,critic,0.782953514294988,0.02541704499766349,0.1
5,no_critic,0.6167736311730467,0.005519693126183973,0.1
