fold,method,ilisi,clisi,best_d_coef
1,critic,0.4112983037483686,0.007085968396131921,0.01
1,no_critic,0.42759197661639353,0.008030588175316,0.01
2,critic,0.4200706226753104,0.004349792779538798,0.01
2,no_critic,0.4378884884706642,0.005589687056004208,0.01
3,critic,0.41479062512228027,0.0039147629729392765,0.01
3,no_critic,0.4371233014752186,0.003257905312036087,0.05
4,critic,0.4079896387715809,0.005816891369740919,0.05
4,no_critic,0.4496592784215158,0.0060112018585206746,0.05
5,critic,0.31767532834549234,0.005399268487627911,0.05
5,no_critic,0.3380635251730021,0.006325939718210044,0.05
