fold,method,ilisi,clisi,best_d_coef
1,critic,0.6546445744686298,0.03361894594927793,0.5
1,no_critic,0.6158665997840118,0.002993194380715756,0.1
2,critic,0.6525162144947856,0.03380190462504794,0.5
2,no_critic,0.6438971940476395,0.0035899177607666656,0.1
3,critic,0.6810561788363456,0.03806594329409264,0.2
3,no_critic,0.6186647874405888,0.0029637137556957427,0.1
4,critic,0.6496661360656794,0.03178410459211633,0.5
4,no_critic,0.6296939244459778,0.003287173330086208,0.1
5,critic,0.6636864198751647,0.02962477939567901,0.2
5,no_critic,0.6344905302439725,0.00391738529026421,0.1
