fold,method,ilisi,clisi,best_d_coef
1,critic,0.6090670940644529,0.009439670650091663,0.01
1,no_critic,0.4925829248625295,0.007864247815667691,0.05
2,critic,0.6078256665925821,0.010689384138972115,0.1
2,no_critic,0.5569357279916298,0.006091329553727696,0.05
3,critic,0.6747894475316614,0.00907352618114761,0.1
3,no_critic,0.5776828393253683,0.0072672714959068135,0.05
4,critic,0.596923906425361,0.01052955986231685,0.1
4,no_critic,0.5552840128269281,0.008067480634082901,0.05
5,critic,0.6065549892423407,0.012853400283333481,0.1
5,no_critic,0.5189030151898367,0.008761300574986875,0.05
