# ADV_LAMBDAS=[5, 20, 50, 150] CF_LAMBDAS=[50, 200, 500, 1500] (plus lambda=0 as adversary=none)
# PREREG_LAMBDA adv=20 cf=200 (secondary table only)
# 8 datasets x 2 decoders x 5 seeds
model	cond	adv	lam	di	seed	dataset	dec	tag
LinearSCVI	0	none	0	1	0	pancreas	lin	pancreas_XZ_lin_uncond_none_lam0_s0
LinearSCVI	0	none	0	1	1	pancreas	lin	pancreas_XZ_lin_uncond_none_lam0_s1
LinearSCVI	0	none	0	1	2	pancreas	lin	pancreas_XZ_lin_uncond_none_lam0_s2
LinearSCVI	0	none	0	1	3	pancreas	lin	pancreas_XZ_lin_uncond_none_lam0_s3
LinearSCVI	0	none	0	1	4	pancreas	lin	pancreas_XZ_lin_uncond_none_lam0_s4
SCVI	0	none	0	1	0	pancreas	nl	pancreas_XZ_nl_uncond_none_lam0_s0
SCVI	0	none	0	1	1	pancreas	nl	pancreas_XZ_nl_uncond_none_lam0_s1
SCVI	0	none	0	1	2	pancreas	nl	pancreas_XZ_nl_uncond_none_lam0_s2
SCVI	0	none	0	1	3	pancreas	nl	pancreas_XZ_nl_uncond_none_lam0_s3
SCVI	0	none	0	1	4	pancreas	nl	pancreas_XZ_nl_uncond_none_lam0_s4
LinearSCVI	0	none	0	1	0	immune	lin	immune_XZ_lin_uncond_none_lam0_s0
LinearSCVI	0	none	0	1	1	immune	lin	immune_XZ_lin_uncond_none_lam0_s1
LinearSCVI	0	none	0	1	2	immune	lin	immune_XZ_lin_uncond_none_lam0_s2
LinearSCVI	0	none	0	1	3	immune	lin	immune_XZ_lin_uncond_none_lam0_s3
LinearSCVI	0	none	0	1	4	immune	lin	immune_XZ_lin_uncond_none_lam0_s4
SCVI	0	none	0	1	0	immune	nl	immune_XZ_nl_uncond_none_lam0_s0
SCVI	0	none	0	1	1	immune	nl	immune_XZ_nl_uncond_none_lam0_s1
SCVI	0	none	0	1	2	immune	nl	immune_XZ_nl_uncond_none_lam0_s2
SCVI	0	none	0	1	3	immune	nl	immune_XZ_nl_uncond_none_lam0_s3
SCVI	0	none	0	1	4	immune	nl	immune_XZ_nl_uncond_none_lam0_s4
LinearSCVI	0	none	0	1	0	lung	lin	lung_XZ_lin_uncond_none_lam0_s0
LinearSCVI	0	none	0	1	1	lung	lin	lung_XZ_lin_uncond_none_lam0_s1
